src_res,src_x,src_y,dst_res,dst_x,dst_y,source
RMUX10,18,12,IMUX32,18,12,silicon_harvest
RMUX20,11,3,RMUX75,8,3,silicon_harvest
RMUX45,16,9,RMUX87,18,9,silicon_harvest
RMUX43,18,12,RMUX73,16,12,silicon_harvest
OMUX07,18,12,IMUX12,18,12,silicon_harvest
RMUX07,17,9,RMUX31,17,8,silicon_harvest
RMUX31,17,8,RMUX25,18,8,silicon_harvest
RMUX50,18,12,RMUX03,18,11,silicon_harvest
RMUX51,17,10,RMUX21,18,10,silicon_harvest
RMUX21,18,8,RMUX87,18,7,silicon_harvest
OMUX32,18,12,OMUX31,18,12,silicon_harvest
OMUX02,18,12,OMUX01,18,12,silicon_harvest
RMUX69,14,7,RMUX92,14,8,silicon_harvest
RMUX14,17,12,RMUX51,17,10,silicon_harvest
RMUX44,14,12,RMUX80,14,8,silicon_harvest
RMUX50,18,12,RMUX03,18,8,silicon_harvest
RMUX50,18,6,RMUX02,18,5,silicon_harvest
OMUX35,18,12,RMUX57,18,12,silicon_harvest
RMUX19,18,8,RMUX94,18,12,silicon_harvest
RMUX22,18,12,IMUX24,18,12,silicon_harvest
OMUX20,18,12,OMUX19,18,12,silicon_harvest
OMUX13,18,12,IMUX20,18,12,silicon_harvest
RMUX03,14,3,RMUX20,11,3,silicon_harvest
OMUX08,18,12,OMUX07,18,12,silicon_harvest
OMUX31,18,12,IMUX44,18,12,silicon_harvest
RMUX74,14,4,RMUX09,18,4,silicon_harvest
RMUX81,14,9,RMUX45,16,9,silicon_harvest
OMUX26,18,12,OMUX25,18,12,silicon_harvest
RMUX03,18,11,RMUX14,15,11,silicon_harvest
OMUX11,18,12,RMUX03,18,12,silicon_harvest
RMUX75,18,11,RMUX10,18,12,silicon_harvest
RMUX80,18,5,RMUX26,18,3,silicon_harvest
RMUX39,18,8,RMUX58,18,12,silicon_harvest
RMUX04,18,12,IMUX08,18,12,silicon_harvest
RMUX33,18,12,RMUX44,14,12,silicon_harvest
RMUX86,18,6,RMUX57,14,6,silicon_harvest
RMUX03,18,8,RMUX21,14,8,silicon_harvest
RMUX44,18,9,RMUX80,18,8,silicon_harvest
RMUX26,18,3,RMUX03,14,3,silicon_harvest
OMUX19,18,12,IMUX28,18,12,silicon_harvest
RMUX07,16,8,RMUX25,16,7,silicon_harvest
RMUX87,18,9,RMUX69,18,8,silicon_harvest
RMUX76,18,12,IMUX16,18,12,silicon_harvest
RMUX57,14,6,RMUX39,14,5,silicon_harvest
RMUX44,18,12,RMUX75,18,11,silicon_harvest
RMUX02,18,5,RMUX19,18,8,silicon_harvest
RMUX80,18,8,RMUX33,18,7,silicon_harvest
RMUX57,18,12,RMUX44,18,8,silicon_harvest
RMUX09,18,4,RMUX39,18,8,silicon_harvest
RMUX94,18,12,IMUX40,18,12,silicon_harvest
RMUX33,18,7,RMUX44,14,7,silicon_harvest
OMUX17,18,12,RMUX43,18,12,silicon_harvest
RMUX62,18,4,RMUX50,18,6,silicon_harvest
RMUX14,15,11,RMUX51,15,8,silicon_harvest
RMUX69,18,8,RMUX76,18,12,silicon_harvest
RMUX03,18,12,RMUX14,17,12,silicon_harvest
RMUX73,16,12,RMUX07,16,8,silicon_harvest
RMUX75,8,3,RMUX20,8,4,silicon_harvest
RMUX57,18,12,RMUX44,18,9,silicon_harvest
OMUX20,18,12,RMUX33,18,12,silicon_harvest
RMUX21,18,10,RMUX86,18,6,silicon_harvest
RMUX87,18,7,RMUX62,18,4,silicon_harvest
RMUX01,16,9,RMUX07,17,9,silicon_harvest
RMUX92,14,8,RMUX81,14,9,silicon_harvest
RMUX80,14,4,RMUX33,14,2,silicon_harvest
RMUX44,14,5,RMUX80,14,4,silicon_harvest
RMUX15,10,3,RMUX69,14,3,silicon_harvest
RMUX38,16,9,RMUX67,18,9,silicon_harvest
RMUX79,16,7,RMUX46,14,7,silicon_harvest
RMUX37,14,7,RMUX49,14,4,silicon_harvest
RMUX91,15,7,RMUX79,16,7,silicon_harvest
OMUX07,14,7,IMUX12,14,7,silicon_harvest
OMUX23,14,7,RMUX44,14,7,silicon_harvest
RMUX74,14,12,RMUX03,15,12,silicon_harvest
RMUX25,14,6,RMUX16,14,7,silicon_harvest
RMUX22,14,7,IMUX24,14,7,silicon_harvest
RMUX21,14,7,RMUX93,14,4,silicon_harvest
RMUX68,10,3,RMUX85,14,3,silicon_harvest
RMUX33,14,2,RMUX44,10,2,silicon_harvest
